"","theta"
"262",-0.0594540078030917
"263",-0.441333240198336
"264",0.360816877536858
"265",0.941110354042687
"266",0.109004082758829
"267",-1.41753449703583
"268",0.261204327349315
"269",-0.195382563753355
"270",-0.288373181291697
"271",-2.07674136929985
"272",0.143852059807418
"273",-0.0670892080764533
"274",-0.793925721982489
"275",0.715888513926976
"276",0.297001341378043
"277",-0.042942021478759
"278",0.0360417819131963
"279",1.10600776267845
"280",0.0174010558286317
"281",-0.915572921547741
"282",0.615194226719444
"283",1.38844433759179
"284",-0.683892406847974
"285",1.1907075619062
"286",-0.577650313589851
"287",-1.48804293860038
"288",0.871377893454468
"289",0.356589998244792
"290",-0.295131408461964
"291",0.506931317671794
"292",-0.522032714147369
"293",0.074691945899964
"294",-0.696189684564924
"295",-0.112858683268033
"296",-0.547943554238241
"297",-0.976713279255176
"298",0.623798255816575
"299",1.04944191579571
"300",0.816449112457371
"301",0.200552820659511
"302",-0.758969407160586
"303",0.252114876193247
"304",-0.808288613617272
"305",-0.495533816091552
"306",0.241171679852003
"307",0.742236375876818
"308",0.662740715991311
"309",1.49162079717626
"310",1.05152401422962
"311",0.465350962736973
"312",1.4042201648552
"313",0.201556626690857
"314",-1.33630757532598
"315",1.05240191295644
"316",1.5147668367703
"317",-1.26465356960057
"318",-1.20903515484701
"319",0.472414014564924
"320",-0.970924416576794
"321",-0.166416855505964
"322",-0.660063774432389
"323",-0.0151256147540099
"324",0.348131760833407
"325",1.48490803816787
"326",0.12362916184047
"327",-0.22271478685111
"328",1.14209797764191
"329",0.76743419220439
"330",0.463872095966221
"331",0.962542380569635
"332",1.35809686155272
"333",1.11250942494856
"334",-0.632532555362893
"335",0.385652571434945
"336",-1.99493709402512
"337",-1.38122430737668
"338",-0.39133428072128
"339",-0.150968511727086
"340",0.698715345034966
"341",1.14308082886571
"342",0.203779031293143
"343",-0.0104570638642539
"344",-0.528406421272368
"345",0.196960357025162
"346",1.52750939754603
"347",-1.00683825777027
"348",-0.372881450905019
"349",-1.79739361311051
"350",0.295144033709889
"351",0.649959863156657
"352",-2.20890846932822
"353",1.29547439682124
"354",-1.13500715511563
"355",0.625508804342986
"356",0.558219056682865
"357",0.0246681527977902
"358",-0.423197092616126
"359",-1.39180533573925
"360",-0.163939423952081
"361",0.492534311825106
"362",0.781833402567363
"363",-1.32376097754907
"364",0.807115632576765
"365",-0.164906635068869
